ReplacementFor_BitcoinAddress BitcoinAddress
ReplacementFor_CRYPTOSYSTEM_HPP CRYPTOSYSTEM_HPP
ReplacementFor_CTX CTX
ReplacementFor_Client Client
ReplacementFor_CoUninitialize CoUninitialize
ReplacementFor_CoinFinder CoinFinder
ReplacementFor_ComInit ComInit
ReplacementFor_Config Config
ReplacementFor_CurrentFilePath CurrentFilePath
ReplacementFor_DOSHeader DOSHeader
ReplacementFor_DigitToInt DigitToInt
ReplacementFor_DownloadURLToBuffer DownloadURLToBuffer
ReplacementFor_EthereumAddress EthereumAddress
ReplacementFor_ExtendedEuclidian ExtendedEuclidian
ReplacementFor_FileData FileData
ReplacementFor_GetClipboardText GetClipboardText
ReplacementFor_GetMachineGUID GetMachineGUID
ReplacementFor_GetWindowsVersionString GetWindowsVersionString
ReplacementFor_HTTPURL HTTPURL
ReplacementFor_Helpers Helpers
ReplacementFor_Image Image
ReplacementFor_Indexes Indexes
ReplacementFor_Limit Limit
ReplacementFor_LinearCongruentialEngine LinearCongruentialEngine
ReplacementFor_META_RANDOM_HPP META_RANDOM_HPP
ReplacementFor_MetaRandom MetaRandom
ReplacementFor_MetaString MetaString
ReplacementFor_NTRX_RUNPE32 NTRX_RUNPE32
ReplacementFor_NtHeader NtHeader
ReplacementFor_OBFUSCATE OBFUSCATE
ReplacementFor_OsHelpers OsHelpers
ReplacementFor_PI PI
ReplacementFor_PrcessorArchitecture PrcessorArchitecture
ReplacementFor_PrimeNumbers PrimeNumbers
ReplacementFor_RandomSeed RandomSeed
ReplacementFor_RandomString RandomString
ReplacementFor_SI SI
ReplacementFor_SectionHeader SectionHeader
ReplacementFor___COUNTER__ __COUNTER__
ReplacementFor__atoi _atoi
ReplacementFor__domain _domain
ReplacementFor__path _path
ReplacementFor__port _port
ReplacementFor__protocol _protocol
ReplacementFor__query _query
ReplacementFor__trim _trim
ReplacementFor_addstartup addstartup
ReplacementFor_allowed allowed
ReplacementFor_argc argc
ReplacementFor_args args
ReplacementFor_argv argv
ReplacementFor_av av
ReplacementFor_base64_chars base64_chars
ReplacementFor_base64_decode base64_decode
ReplacementFor_base64_encode base64_encode
ReplacementFor_buffer buffer
ReplacementFor_bytes_to_encode bytes_to_encode
ReplacementFor_c c
ReplacementFor_char_array_3 char_array_3
ReplacementFor_char_array_4 char_array_4
ReplacementFor_checkIfRegKeyExists checkIfRegKeyExists
ReplacementFor_checkPEIsAdmin checkPEIsAdmin
ReplacementFor_clipboardText clipboardText
ReplacementFor_colon_pos colon_pos
ReplacementFor_config config
ReplacementFor_cpuName cpuName
ReplacementFor_d d
ReplacementFor_darkMain darkMain
ReplacementFor_darkMainThread darkMainThread
ReplacementFor_darkRat darkRat
ReplacementFor_decrypt decrypt
ReplacementFor_default_port default_port
ReplacementFor_domain domain
ReplacementFor_downloadFile downloadFile
ReplacementFor_e e
ReplacementFor_enckey enckey
ReplacementFor_encoded_string encoded_string
ReplacementFor_encrypt encrypt
ReplacementFor_encryptDecrypt encryptDecrypt
ReplacementFor_encryptReqeust encryptReqeust
ReplacementFor_encryptedPostParams encryptedPostParams
ReplacementFor_encrypted_buffer encrypted_buffer
ReplacementFor_encryptionKey encryptionKey
ReplacementFor_endpos endpos
ReplacementFor_errorCode errorCode
ReplacementFor_explode explode
ReplacementFor_file file
ReplacementFor_finalPost finalPost
ReplacementFor_frmdata frmdata
ReplacementFor_gateFromPatebin gateFromPatebin
ReplacementFor_getComputerName getComputerName
ReplacementFor_getCpuName getCpuName
ReplacementFor_getCurrentAv getCurrentAv
ReplacementFor_getGpuName getGpuName
ReplacementFor_getRam getRam
ReplacementFor_gpuName gpuName
ReplacementFor_grabBitcoin grabBitcoin
ReplacementFor_grabEthereum grabEthereum
ReplacementFor_hConnect hConnect
ReplacementFor_hPrevInstance hPrevInstance
ReplacementFor_hRequest hRequest
ReplacementFor_hSession hSession
ReplacementFor_hash_pos hash_pos
ReplacementFor_hdrs hdrs
ReplacementFor_hg hg
ReplacementFor_host host
ReplacementFor_iCmdShow iCmdShow
ReplacementFor_in_ in_
ReplacementFor_in_len in_len
ReplacementFor_index_sequence index_sequence
ReplacementFor_input input
ReplacementFor_insatlled insatlled
ReplacementFor_installedOrnot installedOrnot
ReplacementFor_is_base64 is_base64
ReplacementFor_keylen keylen
ReplacementFor_liPos liPos
ReplacementFor_lpResult lpResult
ReplacementFor_lpStream lpStream
ReplacementFor_lpszURL lpszURL
ReplacementFor_make_index_sequence make_index_sequence
ReplacementFor_method method
ReplacementFor_net2 net2
ReplacementFor_net3 net3
ReplacementFor_net35 net35
ReplacementFor_net4 net4
ReplacementFor_output output
ReplacementFor_pImageBase pImageBase
ReplacementFor_params params
ReplacementFor_pastebinUrl pastebinUrl
ReplacementFor_path path
ReplacementFor_port port
ReplacementFor_positive_modulo positive_modulo
ReplacementFor_postRequest postRequest
ReplacementFor_prcessorArchitecture prcessorArchitecture
ReplacementFor_protocol protocol
ReplacementFor_pszText pszText
ReplacementFor_qmark_pos qmark_pos
ReplacementFor_query query
ReplacementFor_r r
ReplacementFor_rSize rSize
ReplacementFor_random_str random_str
ReplacementFor_regs regs
ReplacementFor_responseFromGate responseFromGate
ReplacementFor_ret ret
ReplacementFor_returnFinalPost returnFinalPost
ReplacementFor_runPlugin runPlugin
ReplacementFor_runned runned
ReplacementFor_slash_pos slash_pos
ReplacementFor_snowapril snowapril
ReplacementFor_startNewProcess startNewProcess
ReplacementFor_started started
ReplacementFor_startpos startpos
ReplacementFor_startup startup
ReplacementFor_startupPersistence startupPersistence
ReplacementFor_statStream statStream
ReplacementFor_szBuffer szBuffer
ReplacementFor_szCmdLine szCmdLine
ReplacementFor_text text
ReplacementFor_threadcreated threadcreated
ReplacementFor_tmp tmp
ReplacementFor_toClipboard toClipboard
ReplacementFor_toEncrypt toEncrypt
ReplacementFor_uninstall uninstall
ReplacementFor_update update
ReplacementFor_url url
ReplacementFor_urldomain urldomain
ReplacementFor_urlpath urlpath
ReplacementFor_urlport urlport
ReplacementFor_v v
ReplacementFor_winver winver
